"Name", "Stmts", "Miss", "Cover"
"gen_form_model/__init__.py", "9", "0", "100%"
"gen_form_model/core/__init__.py", "9", "0", "100%"
"gen_form_model/core/model/__init__.py", "9", "0", "100%"
"gen_form_model/core/model/project_setup.py", "14", "0", "100%"
"gen_form_model/core/service/__init__.py", "9", "0", "100%"
"gen_form_model/core/service/engine.py", "27", "0", "100%"
"gen_form_model/core/service/iservice.py", "14", "0", "100%"
"gen_form_model/core/service/isubprocessor.py", "14", "0", "100%"
"gen_form_model/engine.py", "57", "0", "100%"
"gen_form_model/infrastructure/__init__.py", "9", "0", "100%"
"gen_form_model/infrastructure/cli/__init__.py", "9", "0", "100%"
"gen_form_model/infrastructure/cli/engine.py", "38", "0", "100%"
"gen_form_model/infrastructure/cli/icli.py", "14", "0", "100%"
"gen_form_model/infrastructure/cli/setup/__init__.py", "9", "0", "100%"
"gen_form_model/infrastructure/cli/setup/bundle.py", "22", "0", "100%"
"gen_form_model/infrastructure/cli/setup/dep_validator.py", "36", "0", "100%"
"gen_form_model/infrastructure/cli/setup/dependencies.py", "18", "0", "100%"
"gen_form_model/infrastructure/cli/setup/factory.py", "35", "0", "100%"
"gen_form_model/infrastructure/cli/setup/keys.py", "26", "0", "100%"
"gen_form_model/infrastructure/cli/setup/opt_validator.py", "36", "0", "100%"
"gen_form_model/infrastructure/cli/setup/options.py", "15", "0", "100%"
"gen_form_model/infrastructure/cli/setup/registry.py", "24", "0", "100%"
"gen_form_model/infrastructure/cli/setup/validator.py", "43", "0", "100%"
"gen_form_model/infrastructure/command/__init__.py", "9", "0", "100%"
"gen_form_model/infrastructure/command/command.py", "16", "0", "100%"
"gen_form_model/infrastructure/command/gen_form_model_command_definition.py", "24", "0", "100%"
"gen_form_model/infrastructure/command/gen_form_model_command_executor.py", "23", "0", "100%"
"gen_form_model/infrastructure/command/icommand_definition.py", "14", "0", "100%"
"gen_form_model/infrastructure/command/icommand_executor.py", "14", "0", "100%"
"gen_form_model/infrastructure/subprocessor.py", "58", "0", "100%"
"gen_form_model/setup/__init__.py", "9", "0", "100%"
"gen_form_model/setup/bundle.py", "23", "0", "100%"
"gen_form_model/setup/dep_validator.py", "36", "0", "100%"
"gen_form_model/setup/dependencies.py", "19", "0", "100%"
"gen_form_model/setup/factory.py", "48", "0", "100%"
"gen_form_model/setup/keys.py", "27", "0", "100%"
"gen_form_model/setup/opt_validator.py", "34", "0", "100%"
"gen_form_model/setup/options.py", "12", "0", "100%"
"gen_form_model/setup/registry.py", "32", "0", "100%"
"gen_form_model/setup/validator.py", "48", "0", "100%"
"Total", "942", "0", "100%"
